Date	Size	Path	File name	Extension
2015-11-21	4096	data_sample/GRAVMAG INTERPRETATION - FUGRO/Quantitative_Interpretation	Wells	
2010-10-03	9520788	data_sample/GRAVMAG INTERPRETATION - FUGRO/Quantitative_Interpretation/Wells	Seagull Shoals #1_Corrected Log Data	las
2010-07-25	1735257	data_sample/GRAVMAG INTERPRETATION - FUGRO/Quantitative_Interpretation/Wells	Seagull Shoals No 1 Composite Well Log Part A 0 to 3840ft	pdf
2010-07-25	783088	data_sample/GRAVMAG INTERPRETATION - FUGRO/Quantitative_Interpretation/Wells	Seagull Shoals No 1 Raw DT GR ILD	LAS
2010-07-25	23414676	data_sample/GRAVMAG INTERPRETATION - FUGRO/Quantitative_Interpretation/Wells	Seagull Shoals No 1 FDC_CNL_GR_SP 1-200-500 RUN 1 321-1139ft	tif
2010-07-25	761790	data_sample/GRAVMAG INTERPRETATION - FUGRO/Quantitative_Interpretation/Wells	Seagull Shoals No 1 Edited DT GR ILD	LAS
2010-10-04	9502377	data_sample/GRAVMAG INTERPRETATION - FUGRO/Quantitative_Interpretation/Wells	Seagull Shoals #1_Corrected Log Data_rs	las
2015-11-06	4096	data_sample/GRAVMAG INTERPRETATION - FUGRO/Quantitative_Interpretation	2D_Model	
2011-01-04	3508873	data_sample/GRAVMAG INTERPRETATION - FUGRO/Quantitative_Interpretation/2D_Model	Line09SEYA-025	2mod
2010-12-16	1222073	data_sample/GRAVMAG INTERPRETATION - FUGRO/Quantitative_Interpretation/2D_Model	line_09SEYA-025_final_seis	png
2011-01-04	63016	data_sample/GRAVMAG INTERPRETATION - FUGRO/Quantitative_Interpretation/2D_Model	line_09SEYA-025_final	png
2011-01-06	51841024	data_sample/GRAVMAG INTERPRETATION - FUGRO	report	ppt
2015-11-05	4096	data_sample	TEST_TAPE-Date_7-10-2009	
2010-01-21	10339456	data_sample/TEST_TAPE-Date_7-10-2009	TEST_TAPE_8	segd
2010-01-21	10534432	data_sample/TEST_TAPE-Date_7-10-2009	TEST_TAPE_3	segd
2010-01-21	10534432	data_sample/TEST_TAPE-Date_7-10-2009	TEST_TAPE_6	segd
2010-01-21	10339456	data_sample/TEST_TAPE-Date_7-10-2009	TEST_TAPE_7	segd
2010-01-21	10534432	data_sample/TEST_TAPE-Date_7-10-2009	TEST_TAPE_2	segd
2010-01-21	10339456	data_sample/TEST_TAPE-Date_7-10-2009	TEST_TAPE_9	segd
2010-01-21	10534432	data_sample/TEST_TAPE-Date_7-10-2009	TEST_TAPE_5	segd
2010-01-21	10534432	data_sample/TEST_TAPE-Date_7-10-2009	TEST_TAPE_1	segd
2010-01-25	3173	data_sample/TEST_TAPE-Date_7-10-2009	TEST_TAPE.segd	LOG
2010-01-21	10534432	data_sample/TEST_TAPE-Date_7-10-2009	TEST_TAPE_4	segd
2015-11-26	4096	data_sample	FINAL-PSTM-STKS	
2010-07-27	56293632	data_sample/FINAL-PSTM-STKS	FINAL-PSTM-STK-001-09SEYA-004P1	SGY
2015-12-20	4096	data_sample	FINAL PROCESSING REPORT	
2010-10-07	11165696	data_sample/FINAL PROCESSING REPORT	Black-Marlin-Seychelles-Final-Processing-Report	doc

